feature,importance
Packet Length Std,0.07908901130489815
Avg Bwd Segment Size,0.07805417016017265
Packet Length Variance,0.0691184127941682
Max Packet Length,0.06895073486168456
Bwd Packet Length Std,0.05222934906818022
Bwd Packet Length Max,0.048049254131254764
Average Packet Size,0.04644260823879991
Bwd Packet Length Mean,0.03426236120620406
Total Length of Bwd Packets,0.027541125977631604
Packet Length Mean,0.02473981732335448
Destination Port,0.023205921814006873
Subflow Fwd Bytes,0.021801235974163686
Subflow Fwd Packets,0.0215794277009137
Total Fwd Packets,0.019778056146432476
PSH Flag Count,0.018266949063015882
Total Length of Fwd Packets,0.01763112875448965
Subflow Bwd Bytes,0.017463056570929288
Fwd Header Length,0.016412067513890023
Fwd IAT Std,0.016053087627069407
Fwd IAT Max,0.016032298025141584
act_data_pkt_fwd,0.014078024558469033
Fwd Packet Length Max,0.013456827582730233
Fwd Header Length.1,0.013420032171011115
Flow IAT Std,0.013039466683235
Idle Mean,0.012694099428898594
Fwd IAT Mean,0.0122536274381672
Bwd Packets/s,0.012205125697870706
Bwd Header Length,0.011905932088646156
Avg Fwd Segment Size,0.011810374077299473
Subflow Bwd Packets,0.010580282426102547
Flow IAT Mean,0.010508401042623818
Fwd Packet Length Mean,0.010464301303234348
min_seg_size_forward,0.010319110749248588
Total Backward Packets,0.009921732460102238
Flow Packets/s,0.009598621257090665
Init_Win_bytes_backward,0.009425635484188436
Flow Bytes/s,0.008833100622365257
ACK Flag Count,0.007739912981351009
Init_Win_bytes_forward,0.006957898127067362
Idle Min,0.006898522444618132
Fwd IAT Total,0.0066707936283070994
Fwd IAT Min,0.005573913895014231
Min Packet Length,0.004876670714387497
Flow IAT Max,0.004627821233274485
Flow Duration,0.0042346184797006714
Fwd Packet Length Std,0.004106646207518304
Bwd Packet Length Min,0.003859552957503416
Bwd IAT Min,0.003654885442528771
Fwd Packets/s,0.003125728136669043
Bwd IAT Total,0.0030687130810167244
Fwd Packet Length Min,0.0027520747201323415
Flow IAT Min,0.0026356701215765233
Bwd IAT Max,0.002416018495030321
Bwd IAT Mean,0.002321257596296932
URG Flag Count,0.0023003086577190273
Idle Max,0.0022792056743677403
FIN Flag Count,0.002001027566590934
Active Max,0.0016095482560808654
Bwd IAT Std,0.001506881639443804
Active Min,0.0010816928010464277
Active Mean,0.0006540458728197797
Active Std,0.0005226542483548952
SYN Flag Count,0.0004211610634028999
Idle Std,0.0003918452669438386
Fwd PSH Flags,0.000292042150297576
Down/Up Ratio,0.00020094981059360023
Fwd URG Flags,2.825948734997541e-06
CWE Flag Count,3.0496530635543125e-07
RST Flag Count,3.84886199988851e-08
Bwd PSH Flags,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
Bwd URG Flags,0.0
ECE Flag Count,0.0
